rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,9/27/2015,Jams is jammin' food wise. Breakfast review only. Jams is on the first floor of a hotel off Central Park- an open corner space. Comphy tables in a beige colored background. Hotel breakfasts in NY these days serve some of the best NY breakfasts and Jams is top of the pops.Some of the usual breakfast faves are on board plus regional stars and housemade pastries with a farm to table sensibility.Ordered:Toby's Estate coffeeThe CalifornianChocolate croissant The ingredients of the food tasted super fresh and flavorful- warned tortillas with perfectly cooked eggs a chile and the tastiest pico and guacamole paired with the coffee and croissant was a killer California style breakfast right here in Manhattan.,6,2,2,Franny A.,"New York, NY",865,1323,1125
3.0,9/22/2015,"JAMS is perhaps one of the most beautifully designed restaurants in the city, along with its close proximity to Central Park. Of course with such a nice location, prices don't look too nice for the wallet. With the long awaited opening of the restaurant, I had expected more for the price and the background of such an establishment. However, I was left slightly disappointed by its food offerings and service especially when we first arrived at the restaurant and had to spend quite a long time at the bar when the restaurant wasn't visibly busy. The hosts were also not particularly friendly. The food was tasty, but nowhere near remarkable as I had hoped for or had anticipated with the overall ambience of the restaurant. There were some items on the menu that didn't appeal to me at all, but I was ready to order since I had searched for the menu online prior to my visit. I had also hoped my server would've paid more attention to our table, but he was preoccupied with other tables far away from our dining area, which was understandably difficult for him to notice the details. I seriously would like to visit this restaurant again to bring friends and family if there are improvements to the aforementioned problems given the ambience and its proximity to tourist attractions for those traveling from out-of-town.",6,1,1,Cecilia L.,"New York, NY",36,17,4
1.0,9/19/2015,"Extremely disappointed. We live in the area and we're excited for the new restaurant but instead our night was full of reordering and still being disappointed. I am allergic to nuts and my salad came with nuts when I asked for non. The hamburger was not at all up to nyc standards. If I'm going to live next to Burger Joint they better make hamburgers that are comparable. The waiters were nice but seemed scared of the chef because everytime I asked them for something they said ""let me ask the chef"" as if he was bullying them around. As for the kale salad. They wouldn't make it with the dressing on the side because it looses the ""integrity"" of the dish. Well what that really means is it is pre made in the back, we all know that. So thanks but no thanks. Jams for my sister's birthday was the worst idea",1,0,1,Victoria C.,"New York, NY",35,21,6
3.0,9/8/2015,"The restaurant is beautifully designed - Wooden, warm, and inviting. The staff were all very attentive and friendly.The cocktails were strong and not very tasty. We started off with the Spiced Nuts, which were yummy but a quarter cup of nuts for $7 is a little silly. The Jams Pancakes were next. They were good. Pancakes on top of a succotash and topped with smoked salmon and caviar. I was a little disappointed at the portion size.The Squid Ink Rigatoni was by far the winner and definitely why I'm giving JAMS stars. It was so delicious, served with chunks of king crab. We finished our meal with the Chocolate Tart dessert. Very sweet and the macadamia nuts gave it a nice crunchy touch.",5,3,2,Lindsey S.,"New York, NY",354,276,199
5.0,9/4/2015,"Two weeks new for this awesome spot!  The kale salad was the perfect side to my ""Jam Chicken"". Being next door to Central Park makes it the perfect location.",0,0,0,Lauren J.,"Avon, CT",0,48,2
3.0,9/3/2015,"After a long awaited opening for a pair of Barbuto fans, we finally got to have dinner at Jams. Food 7/10Service 7/10Ambiance 8/10The pancakes were tasty and so unique. I would order those again. After reading reviews that the roast chicken wasn't as good as Barbuto's, I was pleasantly surprised to find that it was very tasty and perfectly cooked. I would give the chicken 4 stars.The mushroom risotto was pretty good but I feel that I could have made better at home.Overall the service was good but we seemed to lose our server towards the end and it took a long time to get our check and pay - always a low point to end a meal on. We'll be back and I have a feeling it will only get better. Good luck Jams team, I hope you get better with age!",3,1,0,Martin H.,"West Village, Manhattan, NY",1,42,3
4.0,9/1/2015,"JAMS made me think two things: 1) I wish I lived in NYC in the 80s to try all the wacky stuff they used to serve back then. And 2) I am really going to miss Barbuto.Well, the place is pretty cool. It was full of beautiful people doing their thing the night I was here, the dining room was somehow impressive and intimate at once, and Martha Stewart was seriously sitting two tables away from me. So, I get it. It's cool.But honestly the food was like a 3.5, except for two items that were pretty excellent. The shaved vegetable plate's dressing was exceptionally uninspired--just oil, vinegar and pepper--but I guess it is like ironicly rustic in a Jonathan Waxman kind of way. The JAMS Chicken was also pretty good but not quite as tasty as the one with salsa verde that they serve at Barbuto. Man, is it going to suck when that place closes.However, the JAMS Pancakes are absolutely great. They are just tiny reddish pancakes with caviar and smoked salmon atop them, and they are so ridiculously 80s but also so delicious. The Baked Alaska is the only other super tasty thing I tried. Like Mike C. said, it probably isn't the best one in the city, but in my opinion it totally saved and otherwise so-so meal.I also have to say that the service here is absolutely excellent. That is one of the primary reasons I am giving 4 rather than 3 stars. The host and hostess here worked hard to try to sneak me into a bar table and my waiter who might have also been a manager was exceptionally awesome. TLDR: If you are going on a date and want to show off or need to be in the scene right now def do go. Don't expect Barbuto-level food, but do get pancakes & baked alaska.",5,1,2,Paul A.,"New York, NY",270,403,462
4.0,8/26/2015,"New restaurant, with an excellent bar and great food!  Bar is great but very pricey, perhaps not by Midtown Manhattan standards, but enough that if I hadn't scored a killer deal at the new 1 Hotel in which it is ensconced I would probably drink at one of the better bars in the area for about half that price, unless they brought in live music as a value add that gave me a reason to want to spend a few bucks more. Love the Jazz though.  Drops one star for the breakfast service, which seems to be an afterthought of the chef to placate the hotel. Even though the quality of the food is A+ in the AM, the presentation, crammed into the corner of the bar with things kind of perfunctorily plated and an unintentional minimalism do not inspire one to fork over the lofty price. Likewise the AM staff bucks the rest of the hotel which is almost Disney friendly with the standard semi-surly NYC wait-staff thing (Not, I might add, a problem in the evening, where they seem to be more enthusiastic because the tips will be monster at those prices.).  Definitely worth a try.  It's been open two days so I'm sure they will work out the growing pains.",5,2,3,Brian R.,"Boca Raton, FL",1275,1528,5923
2.0,8/24/2015,"I met my friend out for dinner here tonight.  She got a cocktail at the bar before I got there.  When our table was ready, she closed out her tab at the bar.  When we got to our table, we realized that the restaurant charged her a 4 dollar service fee and a 2 dollar gratuity on a $14 dollar drink.  The fees almost equal half the price of the drink!  When we spoke to our waiter later about this, he advised us that sometimes the computer systems switch over to in room service (JAMS is part of a hotel) which automatically charges you a service fee and gratuity.  While acknowledging the restaurant's error, nothing was done to fix it.  Unfortunately, this is not the first time this happened tonight.We ordered the fluke crudo, gnocchi with lobster and seasonal vegetables, and the chicken (which Jonathan Waxman is known for from Barbuto).  First, after waiting an hour for our food, our fluke crudo never arrives.  Turns out our waiter forgot to put it in the system.  While he was very nice and apologetic, nothing was done to correct his error.  Second, when we got the gnocchi, I was disappointed to see that there was plenty of gnocchi but barely any lobster.  If you're paying for a $25 lobster gnocchi dish, you should at least get more than one bite of lobster.  Disappointing.  Third, we got our chicken with a side of heirloom tomatoes.  Chicken was okay; nothing memorable.  Same with the heirloom tomatoes.  We decided to treat ourselves to a baked Alaska and chocolate tart for dessert.  I did like the Baked Alaska but wish they set it in flames in front of you.  Chocolate tart was good but nothing special.Overall, with the wait time, quality and price of food, and the service errors, I will NOT be coming back.  The space was lovely though...",3,0,0,Melissa Y.,"Manhattan, NY",9,18,7
5.0,8/23/2015,"Good stuff. Started with cocktails. It was nice to see an Aviation on the menu. The Sazerac was also very good. We split the shaved vegetables to start. I had the duck, lady had the lobster pasta. Both were fantastic. We then split the flan and blueberry/ricotta dealy to finish. Both were just wow. And!  Waxman was in the kitchen personally checking every plate that went out. Only knock was that the water server came over to our table.  Often. Like 4 or 5 times during the meal. Also, it took a bit of time to get the check. These are not real knocks and I'm sure they'll work out the kinks as time goes on. Aces. We will return.",4,0,1,Jeff M.,"Manhattan, NY",106,314,36
4.0,8/21/2015,"I wasn't around for the original Jams, but I was glad to try the new version tonight at the 1 Hotel near Central Park.As expected, the food was all delicious. Unfortunately, as you would also expect from a hotel restaurant near Central Park, the prices were all on the very high end.It is a very nice, bright space, with floor to ceiling walls and a similar feel to most restaurants of this type opening these days. The service was ok, but you could definitely feel that they are still getting their bearings. On to the food:- Kale Salad ($14)Better than your average throwaway salad, this was a tasty and refreshing way to start the meal (note: no bread though to start the meal unfortunately).- Pizzette ($17)This was a pretty good little pizza to start, topped with pesto, goat cheese, burrata and cherry tomatoes. All of that stuff made for a bit of a mushy texture overall, but the bread itself was great.- Jams Pancakes ($25)As alluded to with the preceding ""Jams"" in the name, this is one of the dishes made famous at the original location. By far the most expensive non-entree, this consists of three tiny pancakes topped with red pepper, smoked salmon, corn sauce, creme fraiche and caviar. It's obvious from the ingredients why this one is on the pricey side. Nevertheless, it's also delicious and definitely a must try.- Short Rib Tacos ($19)Moving back up to the top of the menu in what must be a horrible typo, the tacos and the burger are listed under ""Bar Snacks"" alongside little bites like nuts and olives. Based on the size of this dish, it could practically be considered a bar snack, but the price totally disqualifies it from that section. This dish consists of two pretty small tacos that are pretty good, but not $10 a piece good.- Jams Burger ($21)Also not a bar snack, but the burger was closer to being worth the price, as it was a large size and very satisfying. It's a cheffy burger, but with the standard ingredients of bacon, lettuce, tomato and cheddar. The patty is great, and it comes with a small serving of the JW Fries (just in case you weren't sure who cooked them), which is enough to go with your burger, so make sure not to order the side of fries for $10 unless you really want a ton of fries.- Jams Chicken ($25)I never order chicken unless it's fried, but like he's known for at Barbuto, apparently Jonathan Waxman is a master of chicken, so we went ahead and tried it. It wasn't particularly memorable though, so I would probably go with a different entree.- Baked Alaska ($12)This was ok, but very far down the list of the great baked alaskas available throughout the city. It's also really small for a pricey dessert.- Pistachio Layer Cake with Blackberry Jam & Mascarpone ($8)This was actually quite good, but surprisingly lacking in presentation. At a place of this caliber, I was expecting to be wowed by a nice tall slice of layer cake, but this slice looked pretty thin and sad. Perhaps my expectations were skewed by a recent visit to Untitled and the incredible slice of cake they serve there.This is a really nice restaurant and possibly a good place to take your parents or guests from out of town to impress them and then show them some touristy stuff nearby at the Plaza or Central Park. Some of the dishes are definitely worth a try, but make sure you don't mind dropping a good amount of money on your meal.",23,13,19,Mike C.,"Forest Hills, NY",5000,1694,69834
